"","ISO","alri","ihd","copd","stroke","lc"
"1","COM",87.7892049671378,NA,NA,NA,NA
"2","ARM",NA,28.63882587909,107.886780984834,NA,NA
"3","ASM",89.6492602619515,29.8665230754079,355.686405066537,38.0619324022133,28.2759522507779
"9","CAN",87.3941345429396,NA,98.1386641938123,30.9988610531999,28.1983980457355
"14","ISL",87.7662480165419,NA,65.633945277359,NA,28.1895346978135
"19","AZE",87.2790158756636,28.4614186540965,63.5578635626905,30.3562084517511,28.2037253897805
"25","BDI",89.6214763416163,28.8791444667749,80.5542450708697,32.8339912078529,28.1856375576964
"31","BEL",90.4167708028045,29.3100366635316,78.9653193289671,38.1252836565192,28.135340308508
"37","BEN",87.365458063151,28.9137359005025,53.8405879001601,32.0909103740962,28.2034702521148
"43","BFA",87.1613589377007,28.5364585492562,86.1978062783062,30.3713371245929,28.212897726297
"49","BGD",89.8999811478615,29.1883518872238,95.8560150261592,36.9120751405229,28.18467550651
"55","TON",87.8538134608277,29.7106950391826,NA,32.7057113603918,28.1790367847666
"60","TTO",87.2032710867587,NA,71.9615120296444,NA,NA
"63","ZWE",88.0540153571575,NA,89.6115531804754,NA,NA
"66","GAB",87.2343237830349,28.3719608379415,73.1773355469361,32.334127922725,NA
"71","KIR",87.2424867784739,28.4408997270863,52.3971106300278,29.7173573777507,28.2467023272655
"77","BRA",87.3633959986727,28.2764375826031,39.8511694166942,29.7032031020615,28.2395766441168
"83","BRB",87.5064557508447,28.3757637548897,46.2778208271424,30.2821159594914,28.2266770924522
"89","BTN",87.2875540661599,28.3293351210433,35.843051197623,29.6032232110313,28.2639698769469
"95","SEN",87.5593648064146,NA,NA,NA,28.1932201110863
"98","SVK",87.1503191754447,NA,53.2011567480303,NA,28.2305682554759
"102","TUR",NA,28.8105727484988,58.7273479968584,33.8482100921482,28.1918765784956
"107","ZMB",87.2090266465239,28.3404420749046,46.5997336414274,30.1093503131766,28.2351684508503
"113","ATG",87.2973791346772,29.0357086494072,93.4525039228493,38.1079909652152,28.1732058351038
"125","GNB",87.1480711430759,28.7802050190498,50.1379347393776,31.6779605502154,28.2029599825573
"131","KGZ",87.2476706501878,28.6347381714179,47.4957503518652,32.6305235954342,28.2058244186946
"137","PRT",86.9699674263721,28.6156065670355,144.573123673115,31.6839666670702,NA
"142","CRI",87.3174422446857,28.6980724984013,73.5382608281176,30.2855908071105,28.2160145964384
"147","TLS",NA,NA,NA,NA,28.1994618754976
"148","USA",86.9765032394176,28.4617229335684,56.3809677817197,30.1419821372314,NA
"152","ZAF",87.1696639377747,28.3923158895277,55.0259438726669,31.6471469595027,28.2115041093579
"158","AGO",87.5619369491755,29.256082009316,145.978829855359,34.5802606315996,28.1712103678841
"164","BMU",90.9981876087175,29.8298484779469,116.004582794564,35.5270840048846,28.1583012248144
"176","DEU",91.8672957244502,30.5881032801675,125.948998388806,39.2960635979119,28.2778143047232
"182","DNK",90.466959381061,31.0253164997147,101.695918339374,44.7040710978565,28.2328395702856
"188","IND",90.3937031546616,29.9210469842624,64.70487342315,38.0561346630336,28.1560557980991
"194","EGY",88.2845112280302,29.3941188639146,100.011478684632,33.2615604785306,28.1698928534389
"200","ERI",90.6963601641934,29.9119848705759,402.43678177736,32.9458486867109,28.171786970871
"206","ESP",89.7240196586957,30.1901981242321,129.967940954062,35.930355560765,28.1687270791649
"212","RWA",87.50642052942,NA,NA,NA,28.1768659757037
"214","SLV",NA,NA,100.866864875061,NA,28.2067721748492
"216","STP",NA,30.0206453134771,94.9761396332373,39.2580809015111,NA
"220","SUR",NA,33.0860724796732,66.8335320258401,45.0766842344923,28.2449567267629
"226","FJI",90.5700099494521,30.2860192769081,201.442262566823,42.9785054344387,NA
"231","GEO",90.6450552028239,29.1369331143314,109.43314345284,36.3604942620455,28.3227719021104
"237","GHA",89.7464447174099,28.9760217976642,94.2895238000688,36.2179014951594,28.2927859224934
"243","GIN",87.8683231249365,28.7718582898788,75.389632022149,33.3495398557606,28.1969856994316
"255","VCT",88.6608255386817,28.502262246262,66.3207212712756,32.4716347046065,28.364431611839
"261","GRL",88.0864763795577,28.4053024164225,58.0865797529895,35.9437962527373,28.2021417018813
"267","KAZ",91.0284541485919,29.7903067373881,153.937168553079,42.0635884076194,28.4288824574344
"273","GUM",94.2296093615402,30.2451989165224,263.434749714337,41.371538283102,28.3785002926675
"279","SSD",91.9878288977041,29.0744179555355,153.3505683345,49.8478912521848,NA
"284","AUT",NA,29.2556441173347,112.590590639956,40.9534988616477,28.421302784239
"289","HTI",87.4619617713917,29.1114709440693,56.2370485472001,38.248052423923,28.2162401653786
"292","ARE",87.8825408591925,29.8054846415746,NA,40.6195686125875,28.2690259971307
"303","BGR",88.781014036464,30.0880765533276,140.902639066698,40.0536366331916,NA
"308","DMA",89.6293980389872,29.0466081030287,193.855792151816,40.4388909950516,NA
"313","DOM",88.8912508431544,30.9729451098084,118.338731295679,41.5909011797278,NA
"318","GBR",NA,30.2131275170543,NA,41.0408168395383,NA
"326","GNQ",89.0767717116668,NA,NA,NA,28.3645919718101
"329","GRD",87.6957717958092,28.8607616671682,150.841633195615,35.1915076348621,28.2204998485274
"335","IRL",87.9218524401039,29.5599264468161,180.428933638086,45.5840647556865,28.3211174816141
