cell,celliso,iso,lon,lat,lpj
GLO.1,SEN.1,SEN,-17.25,14.75,23584
GLO.2,SEN.2,SEN,-16.75,12.75,23600
GLO.3,GMB.3,GMB,-16.75,13.25,23601
GLO.4,SEN.4,SEN,-16.75,14.25,23603
GLO.5,SEN.5,SEN,-16.75,14.75,23604
GLO.6,SEN.6,SEN,-16.75,15.25,23605
GLO.7,MRT.7,MRT,-16.75,20.75,23609
GLO.8,MRT.8,MRT,-16.75,21.25,23610
GLO.9,ESH.9,ESH,-16.75,21.75,23611
GLO.10,ESH.10,ESH,-16.75,22.25,23612
GLO.11,GNB.11,GNB,-16.25,12.25,23627
GLO.12,SEN.12,SEN,-16.25,12.75,23628
GLO.13,GMB.13,GMB,-16.25,13.25,23629
GLO.14,SEN.14,SEN,-16.25,13.75,23630
GLO.15,SEN.15,SEN,-16.25,14.25,23631
GLO.16,SEN.16,SEN,-16.25,14.75,23632
GLO.17,SEN.17,SEN,-16.25,15.25,23633
GLO.18,SEN.18,SEN,-16.25,15.75,23634
GLO.19,SEN.19,SEN,-16.25,16.25,23635
GLO.20,MRT.20,MRT,-16.25,16.75,23636
GLO.21,MRT.21,MRT,-16.25,17.25,23637
GLO.22,MRT.22,MRT,-16.25,19.25,23640
GLO.23,MRT.23,MRT,-16.25,19.75,23641
GLO.24,MRT.24,MRT,-16.25,20.25,23642
GLO.25,MRT.25,MRT,-16.25,20.75,23643
GLO.26,MRT.26,MRT,-16.25,21.25,23644
GLO.27,ESH.27,ESH,-16.25,21.75,23645
GLO.28,ESH.28,ESH,-16.25,22.25,23646
GLO.29,ESH.29,ESH,-16.25,22.75,23647
GLO.30,GNB.30,GNB,-15.75,12.25,23665
GLO.31,SEN.31,SEN,-15.75,12.75,23666
GLO.32,SEN.32,SEN,-15.75,13.25,23667
GLO.33,SEN.33,SEN,-15.75,13.75,23668
GLO.34,SEN.34,SEN,-15.75,14.25,23669
GLO.35,SEN.35,SEN,-15.75,14.75,23670
GLO.36,SEN.36,SEN,-15.75,15.25,23671
GLO.37,SEN.37,SEN,-15.75,15.75,23672
GLO.38,SEN.38,SEN,-15.75,16.25,23673
GLO.39,MRT.39,MRT,-15.75,16.75,23674
GLO.40,MRT.40,MRT,-15.75,17.25,23675
GLO.41,MRT.41,MRT,-15.75,17.75,23676
GLO.42,MRT.42,MRT,-15.75,18.25,23677
GLO.43,MRT.43,MRT,-15.75,18.75,23678
GLO.44,MRT.44,MRT,-15.75,19.25,23679
GLO.45,MRT.45,MRT,-15.75,19.75,23680
GLO.46,MRT.46,MRT,-15.75,20.25,23681
GLO.47,MRT.47,MRT,-15.75,20.75,23682
GLO.48,MRT.48,MRT,-15.75,21.25,23683
GLO.49,ESH.49,ESH,-15.75,21.75,23684
GLO.50,ESH.50,ESH,-15.75,22.25,23685
GLO.51,ESH.51,ESH,-15.75,22.75,23686
GLO.52,ESH.52,ESH,-15.75,23.25,23687
GLO.53,ESH.53,ESH,-15.75,23.75,23688
GLO.54,GNB.54,GNB,-15.25,11.25,23703
GLO.55,GNB.55,GNB,-15.25,11.75,23704
GLO.56,GNB.56,GNB,-15.25,12.25,23705
GLO.57,SEN.57,SEN,-15.25,12.75,23706
GLO.58,SEN.58,SEN,-15.25,13.25,23707
GLO.59,SEN.59,SEN,-15.25,13.75,23708
GLO.60,SEN.60,SEN,-15.25,14.25,23709
GLO.61,SEN.61,SEN,-15.25,14.75,23710
GLO.62,SEN.62,SEN,-15.25,15.25,23711
GLO.63,SEN.63,SEN,-15.25,15.75,23712
GLO.64,SEN.64,SEN,-15.25,16.25,23713
GLO.65,MRT.65,MRT,-15.25,16.75,23714
GLO.66,MRT.66,MRT,-15.25,17.25,23715
GLO.67,MRT.67,MRT,-15.25,17.75,23716
GLO.68,MRT.68,MRT,-15.25,18.25,23717
GLO.69,MRT.69,MRT,-15.25,18.75,23718
GLO.70,MRT.70,MRT,-15.25,19.25,23719
GLO.71,MRT.71,MRT,-15.25,19.75,23720
GLO.72,MRT.72,MRT,-15.25,20.25,23721
GLO.73,MRT.73,MRT,-15.25,20.75,23722
GLO.74,MRT.74,MRT,-15.25,21.25,23723
GLO.75,ESH.75,ESH,-15.25,21.75,23724
GLO.76,ESH.76,ESH,-15.25,22.25,23725
GLO.77,ESH.77,ESH,-15.25,22.75,23726
GLO.78,ESH.78,ESH,-15.25,23.25,23727
GLO.79,ESH.79,ESH,-15.25,23.75,23728
GLO.80,ESH.80,ESH,-15.25,24.25,23729
GLO.81,GIN.81,GIN,-14.75,10.75,23741
GLO.82,GIN.82,GIN,-14.75,11.25,23742
GLO.83,GNB.83,GNB,-14.75,11.75,23743
GLO.84,GNB.84,GNB,-14.75,12.25,23744
GLO.85,SEN.85,SEN,-14.75,12.75,23745
GLO.86,SEN.86,SEN,-14.75,13.25,23746
GLO.87,SEN.87,SEN,-14.75,13.75,23747
GLO.88,SEN.88,SEN,-14.75,14.25,23748
GLO.89,SEN.89,SEN,-14.75,14.75,23749
GLO.90,SEN.90,SEN,-14.75,15.25,23750
GLO.91,SEN.91,SEN,-14.75,15.75,23751
GLO.92,SEN.92,SEN,-14.75,16.25,23752
GLO.93,MRT.93,MRT,-14.75,16.75,23753
GLO.94,MRT.94,MRT,-14.75,17.25,23754
GLO.95,MRT.95,MRT,-14.75,17.75,23755
GLO.96,MRT.96,MRT,-14.75,18.25,23756
GLO.97,MRT.97,MRT,-14.75,18.75,23757
GLO.98,MRT.98,MRT,-14.75,19.25,23758
GLO.99,MRT.99,MRT,-14.75,19.75,23759
GLO.100,MRT.100,MRT,-14.75,20.25,23760
GLO.101,MRT.101,MRT,-14.75,20.75,23761
GLO.102,MRT.102,MRT,-14.75,21.25,23762
GLO.103,ESH.103,ESH,-14.75,21.75,23763
GLO.104,ESH.104,ESH,-14.75,22.25,23764
GLO.105,ESH.105,ESH,-14.75,22.75,23765
GLO.106,ESH.106,ESH,-14.75,23.25,23766
GLO.107,ESH.107,ESH,-14.75,23.75,23767
GLO.108,ESH.108,ESH,-14.75,24.25,23768
GLO.109,ESH.109,ESH,-14.75,24.75,23769
GLO.110,ESH.110,ESH,-14.75,25.25,23770
GLO.111,ESH.111,ESH,-14.75,25.75,23771
GLO.112,GIN.112,GIN,-14.25,10.25,23781
GLO.113,GIN.113,GIN,-14.25,10.75,23782
GLO.114,GIN.114,GIN,-14.25,11.25,23783
GLO.115,GNB.115,GNB,-14.25,11.75,23784
GLO.116,GNB.116,GNB,-14.25,12.25,23785
GLO.117,SEN.117,SEN,-14.25,12.75,23786
GLO.118,SEN.118,SEN,-14.25,13.25,23787
GLO.119,SEN.119,SEN,-14.25,13.75,23788
GLO.120,SEN.120,SEN,-14.25,14.25,23789
GLO.121,SEN.121,SEN,-14.25,14.75,23790
GLO.122,SEN.122,SEN,-14.25,15.25,23791
GLO.123,SEN.123,SEN,-14.25,15.75,23792
GLO.124,SEN.124,SEN,-14.25,16.25,23793
GLO.125,MRT.125,MRT,-14.25,16.75,23794
GLO.126,MRT.126,MRT,-14.25,17.25,23795
GLO.127,MRT.127,MRT,-14.25,17.75,23796
GLO.128,MRT.128,MRT,-14.25,18.25,23797
GLO.129,MRT.129,MRT,-14.25,18.75,23798
GLO.130,MRT.130,MRT,-14.25,19.25,23799
GLO.131,MRT.131,MRT,-14.25,19.75,23800
GLO.132,MRT.132,MRT,-14.25,20.25,23801
GLO.133,MRT.133,MRT,-14.25,20.75,23802
GLO.134,MRT.134,MRT,-14.25,21.25,23803
GLO.135,ESH.135,ESH,-14.25,21.75,23804
GLO.136,ESH.136,ESH,-14.25,22.25,23805
GLO.137,ESH.137,ESH,-14.25,22.75,23806
GLO.138,ESH.138,ESH,-14.25,23.25,23807
GLO.139,ESH.139,ESH,-14.25,23.75,23808
GLO.140,ESH.140,ESH,-14.25,24.25,23809
GLO.141,ESH.141,ESH,-14.25,24.75,23810
GLO.142,ESH.142,ESH,-14.25,25.25,23811
GLO.143,ESH.143,ESH,-14.25,25.75,23812
